manifest_idx,orig_filename,left_iris_h,right_iris_h,iris_h_agreement,head_yaw,head_pitch,z_tilt,z_nose_rel
0,0050_2m_-30P_0V_-10H.jpg,0.4948994884368012,0.5189305872248061,-0.024031098788004912,-0.2708777501238232,0.36814527690290727,-0.07200951129198074,-0.21070119738578796
4,0050_2m_30P_-10V_5H.jpg,0.46839940041762085,0.45690245590969614,0.011496944507924711,0.23959988863255474,0.351235565016627,0.051260821521282196,-0.14409563317894936
8,0050_2m_30P_-10V_-5H.jpg,0.5463676720606497,0.42370689399918016,0.12266077806146958,0.2633514831497715,0.3371594728917553,0.03691869415342808,-0.1567259132862091
12,0050_2m_-15P_10V_-10H.jpg,0.47715551703384335,0.45441916003537175,0.022736356998471596,-0.12566051818692583,0.37688129377743407,0.02054154360666871,-0.17261277697980404
16,0050_2m_-15P_0V_5H.jpg,0.43902309956226354,0.49762007721274276,-0.05859697765047922,-0.1514127439595754,0.36833193091108846,0.005856853676959872,-0.1751950280740857
20,0050_2m_-15P_0V_-5H.jpg,0.4508298913261985,0.4435184730109649,0.0073114183152335754,-0.13484293593200583,0.37358318021135134,0.020947089418768883,-0.16784537583589554
24,0050_2m_0P_-10V_-5H.jpg,0.46961190624021576,0.45352835855998525,0.016083547680230514,-0.002421785467324091,0.3417489836888849,0.009368836879730225,-0.19172893092036247
28,0050_2m_30P_10V_10H.jpg,0.4359034673495793,0.46082347000405743,-0.024920002654478135,0.24272537280958859,0.3749848922571928,0.05342613905668259,-0.14632047340273857
32,0050_2m_-30P_0V_10H.jpg,0.4086672614374511,0.590167909449971,-0.18150064801251992,-0.2744782570190059,0.38515203997468683,-0.05214277282357216,-0.1966200415045023
36,0050_2m_0P_10V_-10H.jpg,0.4604234158555797,0.4347422700712005,0.025681145784379245,0.005616178592167354,0.37326600346249633,0.05521613545715809,-0.16299772262573242
40,0050_2m_-15P_10V_15H.jpg,0.39660805508282887,0.5722286871356088,-0.17562063205277995,-0.15355722525942414,0.3757977112721777,0.018264710437506437,-0.166786041110754
44,0050_2m_-15P_-10V_-5H.jpg,0.47487933402543214,0.4441414469665594,0.03073788705887276,-0.14335208460145643,0.3577830292916852,0.04088151082396507,-0.15749877132475376
48,0050_2m_-30P_-10V_-15H.jpg,0.5154838138087579,0.4841774358910315,0.031306377917726336,-0.2682335833616584,0.37088929215523675,-0.058476729318499565,-0.1977031398564577
52,0050_2m_-15P_-10V_-10H.jpg,0.478728289933813,0.4303373218925263,0.048390968041286675,-0.14111027391810457,0.3670136187246167,0.04905581660568714,-0.15228724665939808
56,0050_2m_-15P_-10V_0H.jpg,0.4432141020972325,0.49134869018148336,-0.04813458808425086,-0.14938810394891644,0.36249709272602615,0.036288319155573845,-0.15680311992764473
64,0050_2m_30P_10V_-10H.jpg,0.5734364341343166,0.41779155061122997,0.15564488352308659,0.2556515847788144,0.36338403344095094,0.049590861424803734,-0.14609361812472343
68,0050_2m_-30P_10V_0H.jpg,0.42587335658057784,0.5766172173684886,-0.15074386078791074,-0.2716476815977398,0.3832121359400129,-0.05783491209149361,-0.20191458985209465
72,0050_2m_15P_0V_-15H.jpg,0.5333626994457094,0.4289325866390449,0.10443011280666448,0.10636472653416057,0.3542666221961436,0.060895947739481926,-0.1549217887222767
76,0050_2m_-30P_-10V_0H.jpg,0.4510791873850648,0.543661643906516,-0.09258245652145114,-0.27178368085429033,0.3765034982068031,-0.06187412887811661,-0.19697438925504684
80,0050_2m_30P_0V_-15H.jpg,0.5893689986682396,0.40105226792303733,0.18831673074520222,0.26134858415356826,0.3486195472194042,0.047143587842583656,-0.15184395760297775
84,0050_2m_15P_10V_0H.jpg,0.4551767175209399,0.4688839719060883,-0.013707254385148415,0.11532539947925306,0.3665528605405361,0.07072020880877972,-0.14580805599689484
88,0050_2m_-30P_10V_15H.jpg,0.3932217128624272,0.6144727168189476,-0.22125100395652036,-0.280601969257311,0.3830324669947852,-0.045253755524754524,-0.19671707041561604
92,0050_2m_15P_10V_-15H.jpg,0.5211227080165955,0.4350110940511726,0.08611161396542294,0.10393424472367484,0.3661718577311809,0.05987103283405304,-0.15440304204821587
96,0050_2m_15P_10V_10H.jpg,0.4236411736174563,0.5194906749745027,-0.09584950135704645,0.10721864041929403,0.3584446357104207,0.07254640199244022,-0.14790210872888565
100,0050_2m_30P_0V_-5H.jpg,0.5424282212767386,0.43874593052273236,0.10368229075400626,0.2696656803690363,0.3519900819076908,0.034118435345590115,-0.15713358484208584
104,0050_2m_-15P_0V_-10H.jpg,0.501160843541828,0.4623136921550564,0.03884715138677158,-0.13806612458412293,0.36553343417736195,0.010970400413498282,-0.17255069687962532
108,0050_2m_-30P_10V_-15H.jpg,0.5160298263598669,0.49520501750120155,0.02082480885866539,-0.265626906643091,0.38134657125529153,-0.06973275914788246,-0.21122487261891365
112,0050_2m_15P_-10V_5H.jpg,0.4433534685197993,0.4875467289706932,-0.04419326045089389,0.09047194415327614,0.3384372354498063,0.03508301917463541,-0.1697451751679182
116,0050_2m_15P_0V_10H.jpg,0.4291186136847635,0.5047615686975494,-0.0756429550127859,0.10057584865377678,0.35773182273468773,0.059840887784957886,-0.1561758741736412
120,0050_2m_15P_-10V_10H.jpg,0.4326509896342205,0.5116262103423163,-0.07897522070809576,0.08490723988423018,0.34350457727358896,0.03580345120280981,-0.1676547657698393
124,0050_2m_15P_-10V_-10H.jpg,0.5182970238059643,0.45005460480179726,0.06824241900416705,0.10548120526099508,0.34440843020780093,0.02582514099776745,-0.17326287366449833
